Media Source,Compound,neg,neu,pos
BBC,0.18359899999999996,0.048490000000000005,0.8432600000000001,0.10826000000000001
CBS,0.26577449999999997,0.031905,0.818665,0.14944500000000002
CNN,0.15726400000000001,0.04190666666666666,0.8443733333333334,0.11373000000000003
Fox,0.18343775,0.045225,0.8260124999999999,0.128765
NYT,0.15253039999999998,0.049652,0.831976,0.11837
